,Title,Developer,Publisher,First released,JP,EU/PAL,NA
0,¡Qué pasa Neng! El videojuego,Mere Mortals,Phoenix Games,2006-12-11EU,Unreleased,Released,Unreleased
1,.hack//frägment,CyberConnect2,Bandai,2005-11-23JP,Released,Unreleased,Unreleased
2,.hack//G.U.vol.1//Rebirth,CyberConnect2,Bandai,2006-05-18JP,Released,Unreleased,Released
3,.hack//G.U.vol.2//Reminisce,CyberConnect2,Namco Bandai Games,2006-09-28JP,Released,Unreleased,Released
4,.hack//G.U.vol.3//Redemption,CyberConnect2,Namco Bandai Games,2007-01-18 JP,Released,Unreleased,Released
5,.hack//Infection Part 1,CyberConnect2,Bandai,2002-06-20JP,Released,Released,Released
6,.hack//Mutation Part 2,CyberConnect2,Bandai,2002-09-19JP,Released,Released,Released
7,.hack//Outbreak Part 3,CyberConnect2,Bandai,2002-12-12JP,Released,Released,Released
8,.hack//Quarantine Part 4,CyberConnect2,Bandai,2003-04-10JP,Released,Released,Released
9,.hack//Vol. 1 x Vol. 2,CyberConnect2,Namco Bandai Games,2006-03-02JP,Released,Unreleased,Unreleased
10,.hack//Vol. 3 x Vol. 4,CyberConnect2,Namco Bandai Games,2006-03-02JP,Released,Unreleased,Unreleased
11,_Summer,Hooksoft,GN Software,2006-08-24JP,Released,Unreleased,Unreleased
12,007: NightFire,Eurocom,Electronic Arts,2002-11-18NA,Released,Released,Released
13,007: Quantum of Solace,Eurocom,Activision,2008-10-31EU,Released,Released,Released
14,10 Pin: Champions Alley,Liquid Games,OG International Ltd,2005-04-05PAL,Unreleased,Released,Unreleased
15,"10,000 Bullets Tsukiyo ni SarabaJP,KO",Blue Moon,"TaitoJP, CyberFrontKO, 505 Game StreetEU",2005-02-24JP,Released,Released,Unreleased
16,120-en no Haru: 120 Yen Stories,Interchannel,Interchannel,2005-02-24JP,Released,Unreleased,Unreleased
17,12Riven: The Psi-Climinal of Integral,CyberFront,CyberFront,2008-03-13JP,Released,Unreleased,Unreleased
18,18 Wheeler American Pro Trucker,Acclaim Studios Cheltenham,Acclaim EntertainmentSega,2001-11-14NA,Released,Released,Released
19,187 Ride or Die,Ubisoft,Ubisoft,2005-08-23NA,Released,Released,Released
